year,ind,prod,ipi,ppi,imports,exports,wages,emp,M3,lagvpfrac,lnlagvp,ind2
2010,321,0.091573942,0.055150844,0.042432283,0.15311606,0.243772507,-0.04138103,-0.066389711,0.01642405,0.01443939,10.91040653,32
2011,321,0.010338961,0.02391182,0.005332818,-0.003297677,0.093753256,0.022083606,-0.010170383,-0.027429037,0.014202093,11.02213416,32
2012,321,0.092331331,0.046024438,0.041874122,0.138173183,0.064128156,0.028288269,0.002349066,0.069524547,0.012956687,11.0532952,32
2013,321,0.115956242,0.086544601,0.067369013,0.162668144,0.086800784,0.057482407,0.039606478,0.138991547,0.013874699,11.10691517,32
2014,321,0.061807203,0.040853994,0.038169473,0.081416461,0.10639376,0.081467612,0.046726658,0.110200653,0.01465498,11.21967773,32
2007,322,0.040909692,-0.017247893,0.030323684,0.000976102,0.089520153,0.003122003,-0.027976462,-0.012924048,,11.86072945,32
2008,322,0.008647398,-0.040509543,0.059178928,0.022490624,0.097267307,-0.008035262,-0.028414516,0.020744756,0.031591362,11.87048613,32
2009,322,-0.105037058,-0.112385131,0.004061892,-0.261270743,-0.130670862,-0.0995181,-0.084477729,-0.105314014,0.030801873,11.90338699,32
2010,322,0.056421818,0.041717593,0.03135726,0.127292256,0.18200395,0.015939783,-0.037633171,0.057720764,0.033679804,11.75734498,32
2011,322,0.038542685,-0.01440323,0.033489223,0.039741763,0.07761253,0.019572585,-0.013115157,0.002650255,0.03198221,11.83392463,32
2012,322,0.031446987,-0.022245609,0.002859132,-0.027697296,-0.013133578,0.000156486,-0.021461945,-0.017232141,0.030168019,11.89846558,32
2013,322,0.020729048,-0.005012542,0.021697344,0.033524823,0.015635546,0.011162059,-0.007388841,-0.017665586,0.030238958,11.89558564,32
2014,322,0.000598031,-0.025215249,0.013996545,0.047154739,0.008117256,0.009592437,-0.013474126,0.013269721,0.029313111,11.9129324,32
2007,323,0.03277199,0.008761506,0.010904738,0.089653191,0.079458579,0.015850602,-0.015717036,0.011173301,,11.46957164,32
2008,323,-0.036539894,-0.068814316,0.024900778,-0.025943527,0.030593902,-0.031597639,-0.041571477,-0.042375991,0.020992132,11.50212182,32
2009,323,-0.168346296,-0.168300315,-0.000710439,-0.233136246,-0.120957237,-0.161226889,-0.125406103,-0.101607765,0.019800898,11.4615388,32
2010,323,-0.00359078,-0.048770164,0.004681238,0.08499661,0.049651153,-0.06700218,-0.080965491,0.009588512,0.021038514,11.28680136,32
2011,323,-0.00112498,-0.044788183,0.016464662,-0.014979809,0.00325217,0.002515244,-0.029941022,-0.005296825,0.018493512,11.28616481,32
2012,323,0.000110622,-0.024600117,0.000981906,0.004587548,-0.010087238,-0.020302993,-0.02629325,-0.018212475,0.016347083,11.28573269,32
2013,323,7.58E-05,-0.006118681,0.004674309,-0.015387175,-0.028985391,-0.000880492,-0.01659403,-0.039318874,0.015696533,11.28615751,32
2014,323,0.001890119,0.022446189,0.006213957,0.007674723,-0.053325022,0.014931832,-0.001600784,0.001710974,0.01566448,11.28629323,32
2007,324,0.14627157,-0.005615739,0.100265946,0.094440555,0.172483304,0.081017278,0.02024022,0.020171905,,13.13127273,32
2008,324,0.141815259,0.008067371,0.23489103,0.246997518,0.636151018,0.036538078,0.011230148,0.177933692,0.122944648,13.26862263,32
2009,324,-0.379175605,-0.017858518,-0.408431942,-0.553336629,-0.338223851,-0.037954571,-0.011993717,-0.446984518,0.145017619,13.45266674,32
2010,324,0.239387116,0.022739487,0.26682765,0.306269024,0.384108508,-0.005513718,-0.031202663,0.242660116,0.119161536,13.02092662,32
2011,324,0.292744627,0.050788167,0.270186735,0.323721445,0.500923796,0.093873884,-0.006556743,0.286452137,0.134835226,13.27279831,32
2012,324,0.014463064,0.006578315,0.012722673,-0.041032887,0.088345618,0.054779711,0.007309509,0.047493617,0.1614319,13.57576659,32
2013,324,-0.013968122,0.009157938,-0.042034988,-0.086054428,0.071305466,0.011832728,0.002642454,-0.014907395,0.157235653,13.58049869,32
2014,324,-0.086914729,0.022446189,-0.051930403,-0.095115355,-0.008434983,-0.030895004,-0.018561939,-0.05447292,0.154123948,13.57265465,32
2007,325,0.10986613,0.01232375,0.032689286,0.088002721,0.129191185,0.056107523,-0.003305463,0.004675243,,13.19528354,32
2008,325,0.004207667,-0.047615854,0.115469741,0.149137455,0.11791142,0.00393976,-0.009668052,0.037373882,0.125309314,13.302578,32
2009,325,-0.185919357,-0.035212756,-0.015714841,-0.19773117,-0.130457381,-0.03279547,-0.056036865,-0.122189476,0.128691094,13.3332264,32
2010,325,0.138962676,0.034980969,0.039480284,0.151056239,0.161256992,-0.006918643,-0.02278798,0.077717669,0.133027435,13.13100199,32
2011,325,0.100487639,0.004390348,0.075588668,0.146861676,0.090034761,0.030775314,-0.004907281,0.078837492,0.134713609,13.27189593,32
2012,325,0.017261903,0.00059982,0.032024129,-0.025311508,0.005096408,0.031302305,0.00287457,-0.015580884,0.133563472,13.38626002,32
2013,325,0.037782933,0.013311014,0.013884117,-0.018498179,0.005462735,0.028516073,0.010054669,-0.001952862,0.130353063,13.38623812,32
2014,325,0.00699797,0.020978406,0.021739987,0.038685445,0.011402429,0.063387795,0.008881604,-0.015735196,0.130554453,13.40668792,32
2007,326,-0.026136956,0.016758784,0.006009659,0.048826124,0.07864616,-0.020227489,-0.055274981,-0.005732501,,12.19300925,32
